C2,4,0
C2,0.333333333333333,4
G2,0.333333333333333,4.33333333333333
C3,0.333333333333333,4.66666666666667
C3,0.333333333333333,5
G2,0.333333333333333,5.33333333333333
C2,0.333333333333333,5.66666666666667
C2,0.333333333333333,6
G2,0.333333333333333,6.33333333333333
C3,0.333333333333333,6.66666666666667
C3,0.333333333333333,7
G2,0.333333333333333,7.33333333333333
C2,0.333333333333333,7.66666666666667
C2,0.333333333333333,8
G2,0.333333333333333,8.33333333333333
C3,0.333333333333333,8.66666666666667
C3,0.333333333333333,9
G2,0.333333333333333,9.33333333333333
C2,0.333333333333333,9.66666666666667
C2,0.333333333333333,10
G2,0.333333333333333,10.3333333333333
C3,0.333333333333333,10.6666666666667
G3,0.333333333333333,11
G3,0.333333333333333,11.3333333333333
G3,0.333333333333333,11.6666666666667
G2,0.333333333333333,11
G2,0.333333333333333,11.3333333333333
G2,0.333333333333333,11.6666666666667
C3,0.25,12.5
C3,0.25,12.75
C2,0.25,12.5
C2,0.25,12.75
C2,1,13
C2,1,13
C3,0.25,14.5
C3,0.25,14.75
C2,0.25,14.5
C2,0.25,14.75
C2,0.5,15
C2,0.5,15.5
C3,0.5,15
C3,0.5,15.5
C2,1.5,16
C3,1.5,16
C3,0.25,17.5
C3,0.25,17.75
C2,0.25,17.5
C2,0.25,17.75
C2,0.5,18
C3,0.5,18
C2,1,18.5
C3,1,18.5
C2,0.5,19.5
C3,0.5,19.5
C2,1.5,20
C3,1.5,20
C3,0.25,21.5
C3,0.25,21.75
C2,0.25,21.5
C2,0.25,21.75
C2,0.5,22
C3,0.5,22
C2,1,22.5
C3,1,22.5
C2,0.5,23.5
C3,0.5,23.5
A#2,1,24
A#1,1,24
G1,2,25
G2,2,25
